Date,Net
2015-11-25,0.9788
2015-11-24,0.9571
2015-11-23,0.9452
2015-11-20,0.9565
2015-11-19,0.9465
2015-11-18,0.9243
2015-11-17,0.9382
2015-11-16,0.9479
2015-11-13,0.9282
2015-11-12,0.9492
2015-11-11,0.9485
2015-11-10,0.9352
2015-11-09,0.9327
2015-11-06,0.9166
2015-11-05,0.8910
2015-11-04,0.8876
2015-11-03,0.8428
2015-11-02,0.8470
2015-10-30,0.8615
2015-10-29,0.8621
2015-10-28,0.8576
2015-10-27,0.8840
2015-10-26,0.8755
2015-10-23,0.8672
2015-10-22,0.8414
2015-10-21,0.8129
2015-10-20,0.8717
2015-10-19,0.8529
2015-10-16,0.8514
2015-10-15,0.8374
2015-10-14,0.8084
2015-10-13,0.8190
2015-10-12,0.8071
2015-10-09,0.7765
2015-10-08,0.7633
2015-09-30,0.7309
2015-09-29,0.7296
2015-09-28,0.7422
2015-09-25,0.7229
2015-09-24,0.7486
2015-09-23,0.741
2015-09-22,0.7513
2015-09-21,0.7423
2015-09-18,0.7177
2015-09-17,0.7093
2015-09-16,0.7182
2015-09-15,0.6724
2015-09-14,0.7032
2015-09-11,0.7504
2015-09-10,0.7469
2015-09-09,0.7585
2015-09-08,0.7375
2015-09-07,0.7039
2015-09-02,0.6996
2015-09-01,0.7036
2015-08-31,0.7429
2015-08-28,0.7723
2015-08-27,0.7214
2015-08-26,0.6851
2015-08-25,0.7162
2015-08-24,0.7952
2015-08-21,0.879
2015-08-20,0.9424
2015-08-19,0.9704
2015-08-18,0.9443
2015-08-17,1.0281
2015-08-14,1.0119
2015-08-13,1.0066
2015-08-12,0.9802
2015-08-11,0.9959
2015-08-10,0.9944
2015-08-07,0.9386
2015-08-06,0.8958
2015-08-05,0.9014
2015-08-04,0.9111
2015-08-03,0.8512
2015-07-31,0.8965
2015-07-30,0.9117
2015-07-29,0.9445
2015-07-28,0.909
2015-07-27,0.9221
2015-07-24,0.9999
2015-07-23,1.0153
2015-07-22,0.9814
2015-07-21,0.9718
2015-07-20,0.959
2015-07-17,0.9451
2015-07-16,0.8958
2015-07-15,0.8776
2015-07-14,0.9235
2015-07-13,0.9123
2015-07-10,0.8689
2015-07-09,0.8232
2015-07-08,0.7774
2015-07-07,0.8126
2015-07-06,0.8663
2015-07-03,0.8673
2015-07-02,0.9136
2015-07-01,0.9632
2015-06-30,1.0139
2015-06-29,0.97
2015-06-26,1.0437
2015-06-25,1.1432
2015-06-24,1.1965
2015-06-23,1.1746
2015-06-19,1.1563
2015-06-18,1.2336
2015-06-17,1.2743
2015-06-16,1.246
2015-06-15,1.3059
2015-06-12,1.339
2015-06-11,1.3114
2015-06-10,1.2871
2015-06-09,1.2551
2015-06-08,1.26
2015-06-05,1.2903
2015-06-04,1.2819
2015-06-03,1.3021
2015-06-02,1.3058
2015-06-01,1.2679
2015-05-29,1.2459
2015-05-28,1.2429
2015-05-27,1.3206
2015-05-26,1.3086
2015-05-25,1.2526
2015-05-22,1.2297
2015-05-21,
2015-05-20,
2015-05-19,
2015-05-18,
2015-05-15,1.0787
2015-05-14,
2015-05-13,
2015-05-12,
2015-05-11,
2015-05-08,1.0123
2015-05-07,
2015-05-06,
2015-05-05,
2015-05-04,
2015-04-30,0.9977
2015-04-29,
2015-04-28,
2015-04-27,
2015-04-24,1
