Date,Net,Acc_Net
2016-01-27,1.8536,1.9736
2016-01-26,1.8815,2.0015
2016-01-25,1.9742,2.0942
2016-01-22,1.9511,2.0711
2016-01-21,1.9345,2.0545
2016-01-20,1.9884,2.1084
2016-01-19,2.004,2.1240
2016-01-18,1.9599,2.0799
2016-01-15,1.9326,2.0526
2016-01-14,1.9896,2.1096
2016-01-13,1.9397,2.0597
2016-01-12,1.9804,2.1004
2016-01-11,1.9523,2.0723
2016-01-08,2.0649,2.1849
2016-01-07,2.0566,2.1766
2016-01-06,2.2068,2.3268
2016-01-05,2.1734,2.2934
2016-01-04,2.1948,2.3148
2015-12-31,2.3504,2.4704
2015-12-30,2.3817,2.5017
2015-12-29,2.367,2.487
2015-12-28,2.35,2.47
2015-12-25,2.4005,2.5205
2015-12-24,2.382,2.502
2015-12-23,2.3922,2.5122
2015-12-22,2.422,2.542
2015-12-21,2.4102,2.5302
2015-12-18,2.396,2.516
2015-12-17,2.3892,2.5092
2015-12-16,2.3413,2.4613
2015-12-15,2.3306,2.4506
2015-12-14,2.3163,2.4363
2015-12-11,2.2858,2.4058
2015-12-10,2.2988,2.4188
2015-12-09,2.2958,2.4158
2015-12-08,2.3065,2.4265
2015-12-07,2.3143,2.4343
2015-12-04,2.2628,2.3828
2015-12-03,2.2815,2.4015
2015-12-02,2.2243,2.3443
2015-12-01,2.2362,2.3562
2015-11-30,2.2426,2.3626
2015-11-27,2.2175,2.3375
2015-11-26,2.3144,2.4344
2015-11-25,2.3264,2.4464
2015-11-24,2.2894,2.4094
2015-11-23,2.2478,2.3678
2015-11-20,2.2626,2.3826
2015-11-19,2.2444,2.3644
2015-11-18,2.1934,2.3134
2015-11-17,2.2184,2.3384
2015-11-16,2.2471,2.3671
2015-11-13,2.1889,2.3089
2015-11-12,2.2258,2.3458
2015-11-11,2.232,2.352
2015-11-10,2.2028,2.3228
2015-11-09,2.1903,2.3103
2015-11-06,2.1493,2.2693
2015-11-05,2.0981,2.2181
2015-11-04,2.0996,2.2196
2015-11-03,2.0132,2.1332
2015-11-02,2.0166,2.1366
2015-10-30,2.0468,2.1668
2015-10-29,2.045,2.165
2015-10-28,2.0437,2.1637
2015-10-27,2.0836,2.2036
2015-10-26,2.0768,2.1968
2015-10-23,2.056,2.176
2015-10-22,2.0073,2.1273
2015-10-21,1.942,2.062
2015-10-20,2.0554,2.1754
2015-10-19,2.0104,2.1304
2015-10-16,1.9987,2.1187
2015-10-15,1.9627,2.0827
2015-10-14,1.9134,2.0334
2015-10-13,1.9267,2.0467
2015-10-12,1.9083,2.0283
2015-10-09,1.8432,1.9632
2015-10-08,1.81,1.93
2015-09-30,1.7588,1.8788
2015-09-29,1.7548,1.8748
2015-09-28,1.7722,1.8922
2015-09-25,1.7409,1.8609
2015-09-24,1.7796,1.8996
2015-09-23,1.7678,1.8878
2015-09-22,1.7771,1.8971
2015-09-21,1.7696,1.8896
2015-09-18,1.7171,1.8371
2015-09-17,1.6993,1.8193
2015-09-16,1.7159,1.8359
2015-09-15,1.6372,1.7572
2015-09-14,1.6856,1.8056
2015-09-11,1.763,1.883
2015-09-10,1.7387,1.8587
2015-09-09,1.7539,1.8739
2015-09-08,1.7083,1.8283
2015-09-07,1.6571,1.7771
2015-09-02,1.6719,1.7919
2015-09-01,1.6963,1.8163
2015-08-31,1.7836,1.9036
2015-08-28,1.8383,1.9583
2015-08-27,1.7456,1.8656
2015-08-26,1.6909,1.8109
2015-08-25,1.7337,1.8537
2015-08-24,1.8216,1.9416
2015-08-21,1.9259,2.0459
2015-08-20,2.0138,2.1338
2015-08-19,2.0672,2.1872
2015-08-18,2.0409,2.1609
2015-08-17,2.1784,2.2984
2015-08-14,2.1483,2.2683
2015-08-13,2.1397,2.2597
2015-08-12,2.1009,2.2209
2015-08-11,2.1399,2.2599
2015-08-10,2.1302,2.2502
2015-08-07,2.0204,2.1404
2015-08-06,1.9623,2.0823
2015-08-05,1.9687,2.0887
2015-08-04,2.0018,2.1218
2015-08-03,1.9179,2.0379
2015-07-31,1.9822,2.1022
2015-07-30,2.005,2.125
2015-07-29,2.0663,2.1863
2015-07-28,1.9695,2.0895
2015-07-27,2.0305,2.1505
2015-07-24,2.1806,2.3006
2015-07-23,2.2285,2.3485
2015-07-22,2.1592,2.2792
2015-07-21,2.1346,2.2546
2015-07-20,2.0738,2.1938
2015-07-17,2.0045,2.1245
2015-07-16,1.8772,1.9972
2015-07-15,1.8537,1.9737
2015-07-14,1.9496,2.0696
2015-07-13,1.9083,2.0283
2015-07-10,1.7974,1.9174
2015-07-09,1.7082,1.8282
2015-07-08,1.6456,1.7656
2015-07-07,1.7282,1.8482
2015-07-06,1.7936,1.9136
2015-07-03,1.8032,1.9232
2015-07-02,1.9111,2.0311
2015-07-01,2.0327,2.1527
2015-06-30,2.1448,2.2648
2015-06-29,2.023,2.143
