Date,Net,Close
2015-09-18,0.9307,3251.27
2015-09-17,0.9261,3237.00
2015-09-16,0.9456,3309.25
2015-09-15,0.9017,3152.23
2015-09-14,0.9369,3208.74
2015-09-11,0.9584,3347.19
2015-09-10,0.9609,3357.56
2015-09-09,0.9728,3399.30
2015-09-08,0.9533,3334.02
2015-09-07,0.9274,3250.49
2015-09-02,0.9553,3365.83
2015-09-01,0.9543,3362.08
2015-08-31,0.9585,3366.54
2015-08-28,0.9543,3342.29
2015-08-27,0.9146,3205.64
2015-08-26,0.8645,3025.69
2015-08-25,0.8752,3042.93
2015-08-24,0.9427,3275.53
2015-08-21,1.0306,3589.54
2015-08-20,1.0791,3761.45
2015-08-19,1.1129,3886.14
2015-08-18,1.0961,3825.41
2015-08-17,1.1671,4077.87
2015-08-14,1.1655,4073.54
2015-08-13,1.1658,4075.46
2015-08-12,1.1495,4016.13
2015-08-11,1.1639,4066.67
2015-08-10,1.1696,4084.36
2015-08-07,1.1180,3906.95
2015-08-06,1.0957,3831.85
2015-08-05,1.1049,3866.90
2015-08-04,1.1273,3948.16
2015-08-03,1.0915,3829.24
2015-07-31,1.0896,3816.70
2015-07-30,1.0898,3815.41
2015-07-29,1.1215,3930.38
2015-07-28,1.0881,3811.09
2015-07-27,1.0922,3818.73
2015-07-24,1.1926,4176.28
2015-07-23,1.2139,4250.81
2015-07-22,1.1868,4157.16
2015-07-21,1.1883,4166.01
2015-07-20,1.1854,4160.61
2015-07-17,1.1839,4151.50
2015-07-16,1.1424,3997.36
2015-07-15,1.1369,3966.76
2015-07-14,1.1789,4112.15
2015-07-13,1.2070,4211.81
2015-07-10,1.1781,4106.56
2015-07-09,1.1221,3897.63
2015-07-08,1.0593,3663.04
2015-07-07,1.1350,3928.00
2015-07-06,1.1539,3998.54
2015-07-03,1.1228,3885.92
2015-07-02,1.1848,4108.00
2015-07-01,1.2262,4253.02
2015-06-30,1.2872,4473.00
2015-06-29,1.2081,4191.55
2015-06-26,1.2491,4336.19
2015-06-25,1.3516,4706.52
2015-06-24,1.4002,4880.13
2015-06-23,1.3735,4786.09
2015-06-19,1.3309,4637.05
2015-06-18,1.4114,4930.55
2015-06-17,1.4689,5138.83
2015-06-16,1.4480,5064.82
2015-06-15,1.4915,5221.17
2015-06-12,1.5225,5335.12
2015-06-11,1.5147,5306.59
2015-06-10,1.5152,5309.11
2015-06-09,1.5177,5317.46
2015-06-08,1.5301,5353.75
2015-06-05,1.5112,5230.55
2015-06-04,1.4960,5181.42
2015-06-03,1.4861,5143.59
2015-06-02,1.4923,5161.87
2015-06-01,1.4681,5076.18
2015-05-29,1.4020,4840.83
2015-05-28,1.3993,4834.01
2015-05-27,1.5006,5181.43
2015-05-26,1.5048,5198.92
2015-05-25,1.4723,5099.50
2015-05-22,1.4258,4951.33
2015-05-21,1.3932,4840.98
2015-05-20,1.3674,4754.92
2015-05-19,1.3542,4731.22
2015-05-18,1.3111,4575.14
2015-05-15,1.3231,4617.47
2015-05-14,1.3474,4700.78
2015-05-13,1.3526,4718.44
2015-05-12,1.3614,4747.42
2015-05-11,1.3456,4690.53
2015-05-08,1.3080,4558.40
2015-05-07,1.2820,4470.09
2015-05-06,1.3062,4553.33
2015-05-05,1.3187,4596.84
2015-05-04,1.3726,4787.74
2015-04-30,1.3615,4749.89
2015-04-29,1.3685,4774.33
2015-04-28,1.3593,4741.86
2015-04-27,1.3787,4807.59
2015-04-24,1.3504,4702.64
