Date,Close,Net
2015/8/13,"7,405.59",1.0066
2015/8/12,"7,207.92",0.9802
2015/8/11,"7,318.79",0.9959
2015/8/10,"7,306.83",0.9944
2015/8/7,"6,895.35",0.9386
2015/8/6,"6,574.61",0.8958
2015/8/5,"6,621.09",0.9014
2015/8/4,"6,694.42",0.9111
2015/8/3,"6,248.75",0.8512
2015/7/31,"6,623.54",0.8965
2015/7/30,"6,732.07",0.9117
2015/7/29,"6,989.64",0.9445
2015/7/28,"6,742.91",0.909
2015/7/27,"6,812.15",0.9221
2015/7/24,"7,399.28",0.9999
2015/7/23,"7,543.25",1.0153
2015/7/22,"7,340.03",0.9814
2015/7/21,"7,277.93",0.9718
2015/7/20,"7,199.79",0.959
2015/7/17,"7,127.09",0.9451
2015/7/16,"6,788.48",0.8958
2015/7/15,"6,667.7",0.8776
2015/7/14,"6,986.6",0.9235
2015/7/13,"6,899.32",0.9123
2015/7/10,"6,631.6",0.8689
2015/7/9,"6,314.89",0.8232
2015/7/8,"6,015.99",0.7774
2015/7/7,"6,269.5",0.8126
2015/7/6,"6,617.1",0.8663
2015/7/3,"6,612.6",0.8673
2015/7/2,"6,914.86",0.9136
2015/7/1,"7,255.85",0.9632
2015/6/30,"7,620.93",1.0139
2015/6/29,"7,314.83",0.97
2015/6/26,"7,874.01",1.0437
2015/6/25,"8,632.14",1.1432
2015/6/24,9071,1.1965
2015/6/23,"8,898.55",1.1746
2015/6/19,"8,747.43",1.1563
2015/6/18,"9,354.88",1.2336
2015/6/17,"9,683.12",1.2743
2015/6/16,"9,459.4",1.246
2015/6/15,"9,936.53",1.3059
2015/6/12,"10,205.2",1.339
2015/6/11,"9,989.61",1.3114
2015/6/10,"9,795.34",1.2871
2015/6/9,"9,549.63",1.2551
2015/6/8,"9,589.88",1.26
2015/6/5,"9,834.07",1.2903
2015/6/4,"9,761.47",1.2819
2015/6/3,"9,914.21",1.3021
2015/6/2,"9,932.48",1.3058
2015/6/1,"9,457.92",1.2679
2015/5/29,"8,808.97",1.2459
2015/5/28,"8,626.17",1.2429
2015/5/27,"9,179.36",1.3206
2015/5/26,"9,093.54",1.3086
2015/5/25,"8,708.31",1.2526
2015/5/22,"8,540.73",1.2297
